bias_percent,p100run_reported_arsp_mean,p200run_reported_arsp_mean,delta_reported_arsp_mean,p100run_true_sim2_as_mean,p200run_true_sim2_as_mean,delta_true_sim2_as_mean,p100run_groundspeed_gps_mean,p200run_groundspeed_gps_mean,delta_groundspeed_gps_mean,p100run_rel_alt_mean,p200run_rel_alt_mean,delta_rel_alt_mean,p100run_rel_alt_min,p200run_rel_alt_min,delta_rel_alt_min,p100run_tecs_throttle_mean,p200run_tecs_throttle_mean,delta_tecs_throttle_mean,p100run_att_des_pitch_mean,p200run_att_des_pitch_mean,delta_att_des_pitch_mean,p100run_arsp_tr_mean,p200run_arsp_tr_mean,delta_arsp_tr_mean
0,14.998559519592742,14.99890938801552,0.00034986842277717756,15.466917449233684,15.465822547107257,-0.0010949021264270442,10.546906510690102,10.545679619063192,-0.0012268916269100316,100.00166986015405,100.00148382336235,-0.00018603679170325904,99.93550872802734,99.93736267089844,0.00185394287109375,0.6419112956925724,0.6418656943671739,-4.5601325398547665e-05,-1.5461347966604913,-1.5288963091186762,0.017238487541815006,0.018979610767199576,0.020208411817564872,0.0012288010503652969
10,14.983183958498758,14.982760649461012,-0.0004233090377461224,14.087751271736455,14.08122400839825,-0.006527263338204747,9.155418700591692,9.149060589926583,-0.006358110665109606,100.08354632397146,100.08501276694054,0.0014664429690753877,99.96226501464844,99.95159912109375,-0.0106658935546875,0.5741102209127379,0.5737832711964119,-0.0003269497163259638,-0.12272933709849636,-0.0991810638888562,0.02354827320964016,0.40761180018451226,0.4091610820163705,0.0015492818318582624
20,15.134028143104425,15.13195213781339,-0.0020760052910357985,13.037456489522864,13.03140649813358,-0.006049991389284415,8.102079364590178,8.09581380103951,-0.006265563550668318,99.82261013429385,99.82444888629543,0.001838752001575017,99.54896545410156,99.54670715332031,-0.00225830078125,0.5226854470612632,0.5223116785566383,-0.00037376850462489397,7.073756414101054,7.136606715719796,0.06285030161874161,0.4080449549331003,0.40550117902109556,-0.00254377591200472
30,16.066621165121756,16.06773257076292,0.0011114056411649642,12.770811683938213,12.770427604262583,-0.00038407967563003353,7.828723860509468,7.827271052769253,-0.0014528077402156114,98.23653776849916,98.23413656852372,-0.002401199975437862,97.45471954345703,97.41413116455078,-0.04058837890625,0.5095538948247283,0.5095555921246234,1.6972998950759433e-06,14.053343142407513,14.03159250593293,-0.021750636474584084,0.4182436493785603,0.4155691582429454,-0.0026744911356149093
40,17.291190141971015,17.290075284298336,-0.0011148576726789372,12.760458088211013,12.760772965689686,0.0003148774786723152,7.8109167066363785,7.808862287606766,-0.00205441902961212,95.98881802660354,95.9857750538132,-0.003042972790339604,94.44415283203125,94.29541778564453,-0.14873504638671875,0.5092611587703567,0.5092272648187441,-3.389395161257358e-05,14.666975446022752,14.637987813756995,-0.028987632265756957,0.42219452616852304,0.41189395986567034,-0.010300566302852698
50,18.542958666243642,18.53417407280956,-0.008784593434082666,12.772575943784894,12.768427033017911,-0.004148910766982539,7.81741546055056,7.814135719959001,-0.0032797405915587774,93.52978872047281,93.56278829030447,0.032999569831659414,91.7804183959961,92.15819549560547,0.377777099609375,0.5098523040425103,0.5095657232666553,-0.0002865807758549721,14.965894262205879,14.952822711732653,-0.013071550473226168,0.404761661918623,0.4046139780599729,-0.00014768385865010503
60,19.82980219642396,19.811453938707015,-0.01834825771694426,12.803054241226173,12.795384588865476,-0.0076696523606969436,7.843741958060961,7.833704505520367,-0.01003745254059396,90.84258301719197,90.872671242873,0.03008822568102687,88.22824096679688,88.07252502441406,-0.1557159423828125,0.5112408218978717,0.510976381948061,-0.00026443994981062424,14.980359760896377,14.981323812109549,0.0009640512131721124,0.4036905500386085,0.3953045601530053,-0.008385989885603184
70,21.027888510956327,21.036659404718986,0.008770893762658716,12.778029996053695,12.784355141113851,0.006325145060156245,7.833887598568335,7.838948137724578,0.005060539156242605,88.2159212945011,88.19243233513939,-0.023488959361714024,87.42204284667969,87.172607421875,-0.2494354248046875,0.509756558552021,0.510054421870508,0.00029786331848702385,15.0,15.0,0.0,0.410607991519945,0.41404068688644424,0.003432695366499261
80,22.339158359326813,22.342203292988753,0.003044933661939808,12.819407151150964,12.821150825863928,0.001743674712963994,7.863663287644975,7.8641416379510245,0.00047835030604925777,85.7298834074896,85.72359530178363,-0.006288105705962721,84.13312530517578,84.14508819580078,0.011962890625,0.5115389502922395,0.5116047574488144,6.5807156574893e-05,14.998534932698997,14.998346979903891,-0.00018795279510541718,0.4248223568547405,0.42332321197293993,-0.0014991448818005848
90,23.532836465907277,23.53632251214804,0.0034860462407628745,12.79453725674837,12.795631962872687,0.0010947061243165024,7.849706032591046,7.8509369252333,0.0012308926422539557,85.62075071428126,85.61845541000366,-0.002295304277595278,85.34521484375,85.3652572631836,0.02004241943359375,0.510369858123306,0.5104257255017093,5.586737840324041e-05,15.0,15.0,0.0,0.4389586350915575,0.43556288743329313,-0.003395747658264392
100,24.772038350160095,24.770728829642323,-0.0013095205177720004,12.792322692082148,12.79237705622878,5.436414663151368e-05,7.847847716498921,7.84779515373173,-5.2562767191233206e-05,85.62384058342126,85.62352002860898,-0.0003205548122764412,85.5863265991211,85.58415985107422,-0.002166748046875,0.5102747778097788,0.5103150469120418,4.0269102262957546e-05,15.0,15.0,0.0,0.4674580222231218,0.46064822258793303,-0.006809799635188796
