bias_percent,accepted_n,nominal_completion_n,degraded_completion_n,autopilot_contained_n,loss_of_control_or_timeout_n,trigger_t_s_mean,trigger_t_s_std,seq3_to_seq4_duration_s_mean,seq3_to_seq4_duration_s_std,injection_alt_m_mean,injection_alt_m_std,altitude_loss_m_mean,altitude_loss_m_std,post_min_alt_m_mean,post_min_alt_m_std,post_max_alt_m_mean,post_max_alt_m_std,post_arsp_mean_mps_mean,post_arsp_mean_mps_std,post_gps_mean_mps_mean,post_gps_mean_mps_std,post_arsp_minus_gps_mean_mps_mean,post_arsp_minus_gps_mean_mps_std,east_arsp_minus_gps_mean_mps_mean,east_arsp_minus_gps_mean_mps_std,west_arsp_minus_gps_mean_mps_mean,west_arsp_minus_gps_mean_mps_std,throttle_mean_pct_mean,throttle_mean_pct_std,throttle_max_pct_mean,throttle_max_pct_std,pitch_mean_deg_mean,pitch_mean_deg_std,requested_sim_arspd_ratio_mean,requested_sim_arspd_ratio_std,readback_sim_arspd_ratio_mean,readback_sim_arspd_ratio_std
10,3,3,0,0,0,21.13409161567688,1.1097434215685997,5.8044694264729815,0.8100121576639246,93.51533333333333,1.35468311177682,3.832333333333333,1.0742445407509982,89.68299999999999,0.2807365312886831,100.83733333333333,0.030088757590392704,15.205420939828784,0.011373029280969378,13.41656403019446,0.010483990493453615,1.7888569096343214,0.0010929390062434036,5.822084504811648,0.014553513265938333,-3.891934404060322,0.00440146377834332,57.67057322779983,0.050752293289799764,85.0,5.5677643628300215,-0.48910471226495766,0.009106796087012568,1.652892561983471,0.0,1.6528925895690918,0.0
20,3,3,0,0,0,19.594470342000324,0.08593175001862303,4.8653717041015625,0.14723359618361254,93.37,0.576136268603185,6.603000000000004,0.49711467489906014,86.767,0.08838551917594077,100.295,0.002645751311063796,15.469458112675923,0.0075665733549159005,12.282456274939223,0.005531218905206751,3.1870018377367013,0.0020403591259619464,7.043800908098651,0.0032544328490477993,-2.6221183208342542,0.004398942826070425,52.91266468091694,0.027690229631155628,85.66666666666667,1.5275252316519468,0.5992456336337901,0.007110412315191297,1.3888888888888886,2.7194799110210365e-16,1.3888888359069824,0.0
30,3,0,3,0,0,20.302782615025837,0.489826371916849,5.081189711888631,0.14177131506170662,93.75966666666666,0.7244448449214941,7.041000000000001,0.9041659139781776,86.71866666666666,0.20211960155643985,100.031,0.0009999999999976694,16.895914530256235,0.01542845719438649,12.318846673171125,0.011692947171261531,4.577067857085111,0.003736613458277751,8.287340818877192,0.0011235785707132792,-1.1333727316889848,0.006139649043288051,53.57849153065402,0.04092792638051166,84.0,3.0,0.4781168142636056,0.005252852937677388,1.1834319526627217,0.0,1.1834319829940796,0.0
40,3,0,3,0,0,20.097269694010418,0.07076759277521098,5.065408070882161,0.1202427114630683,93.68433333333333,0.5120081379561525,8.955666666666664,0.812020525192144,84.72866666666667,0.5623027061408571,100.02966666666667,0.0015275252316514878,18.252616917041177,0.012294615412825394,12.33195079431863,0.005600963687090471,5.920666122722547,0.0074010240722634174,9.571560997138201,0.005957134887103349,0.29094561124226553,0.010536748947790218,53.75241875103162,0.032076140127404285,85.33333333333333,2.0816659994661326,0.4452236724128822,0.007413083316111974,1.0204081632653064,0.0,1.0204081535339355,0.0
50,3,0,3,0,0,20.04743242263794,0.5469490689881102,4.848594029744466,0.2904615991002041,93.03399999999999,0.6896093096819388,12.163000000000002,0.42300472810596695,80.871,0.6519516853264508,100.21133333333334,0.0035118845842868522,20.316716025197255,0.006415021392282983,13.10082853041294,0.008262214239030535,7.215887494784318,0.0039450458974109315,11.263825281008309,0.013141989873155313,1.429928332982483,0.010021185450537706,56.476607361385675,0.03167148003292151,98.33333333333333,0.5773502691896257,-0.2331956391074909,0.006538144595435659,0.8888888888888888,0.0,0.8888888955116272,0.0
60,3,0,3,0,0,19.993043184280396,0.08063794325227089,5.162112871805827,0.010918264577252337,93.901,0.030512292604785326,16.52333333333334,0.4350980732356012,77.37766666666666,0.4656096362118519,100.194,0.0055677643628272554,21.68769793695634,0.007340734666062859,13.109291094460637,0.003388302749331553,8.578406842495701,0.00932462495458876,12.65547852715405,0.0131753284251251,2.771269889468693,0.005042223404148381,56.53016591251886,0.022774764510620583,96.66666666666667,1.1547005383792517,-0.26081767399528055,0.002562336619437039,0.7812499999999999,0.0,0.78125,0.0
70,3,0,3,0,0,19.952367305755615,0.23212527605007305,5.207140843073527,0.5689579477425392,93.51766666666667,2.0421048781424873,18.683000000000003,0.577924735584145,74.83466666666668,1.6143123406990745,100.19633333333333,0.007234178138067453,23.059239820143148,0.028759538217025923,13.132609720489421,0.009520332380438978,9.926630099653728,0.01928884263661922,14.042969678687996,0.017537780881694675,4.081959115403203,0.022164659412302782,56.61696501573521,0.0421096971221127,99.33333333333333,1.1547005383792517,-0.2775669713461686,0.014169213908262398,0.6920415224913495,0.0,0.6920415163040161,0.0
80,3,0,3,0,0,20.078640063603718,0.4277216933397804,5.045640071233113,0.1850575558971749,93.66699999999999,0.4909775962302126,21.03766666666667,0.10450039872333097,72.62933333333332,0.5106136830651307,100.19633333333333,0.009504384952924938,24.451890476848178,0.013781972803697511,13.152267947725122,0.004558596580032697,11.299622529123054,0.01796379863627242,15.440025026431675,0.007829895006408228,5.40537371985376,0.03360917558168229,56.72263198905767,0.020003864451514603,100.0,0.0,-0.29819082792136203,0.003008459962748933,0.6172839506172839,0.0,0.6172839403152466,0.0
90,3,0,3,0,0,19.85933033625285,0.15514493423130057,4.932012478510539,0.18170252429724293,93.47133333333333,0.24757692407276588,23.16366666666666,0.14242307865416926,70.30766666666666,0.1056330125166092,100.19766666666665,0.008082903768657607,25.865498368657768,0.02730112654474951,13.17934003438531,0.007026883507279288,12.686158334272456,0.031162960038009387,16.84368089837211,0.0397019153408609,6.7638452157630695,0.04756494784629576,56.81904537346523,0.019517785027065727,100.0,0.0,-0.31431902242788073,0.0024291775493587237,0.554016620498615,0.0,0.554016649723053,0.0
100,2,0,2,0,0,20.06494426727295,0.8368927749666304,4.980433344841003,0.24919121877193243,93.334,0.6180113267570392,23.1325,0.13930003589374174,70.20150000000001,0.47871129086329745,100.189,0.014142135623728137,27.21322301875896,0.02945075822621707,13.177357889384822,0.013212584966768219,14.035865129374134,0.01623817325945011,18.2249667580525,0.00653269028701284,8.087655190487567,0.0543675884130486,56.787029978370256,0.014726493543800725,100.0,0.0,-0.3006773915944895,0.011074376488297847,0.5,0.0,0.5,0.0
