idx,phase,bias_percent,ratio,start_s,end_s,duration_s,arsp_mean,arsp_min,arsp_max,sim_true_as_mean,gps_spd_mean,xkf_groundspeed_mean,arsp_minus_true_as_mean,arsp_minus_gps_mean,alt_mean,alt_min,alt_max,alt_delta,tecs_h_mean,tecs_hdem_mean,tecs_sp_mean,tecs_spdem_mean,tecs_th_mean,tecs_ph_mean,ctun_tho_mean,aetr_thr_mean,aetr_elev_mean,rcou_c2_mean,rcou_c3_mean,pitch_mean,diffpress_mean,aoa_mean,n_arsp,n_tecs
1,baseline_settle,0.0,1.9900000095367432,208.243651,266.623397,58.37974600000001,15.000048278422838,14.82567310333252,15.177849769592285,15.465766883870108,10.545524875769454,10.524514206788442,-0.46571860544726995,4.454523402653384,100.0007447260596,99.93724822998047,100.109130859375,-0.11290740966796875,100.00068127349968,99.99993919343984,15.504399846109111,15.504618508985427,0.641869526788983,-0.026607199624348224,64.18672773382637,64.18672773382637,2881.220153031367,1627.094382022472,1612.9745318352059,-1.5283928350562908,112.50385700182969,-1.523761911561873,534,534
2,fault_observe,10.0,1.6528925895690918,266.623397,325.243339,58.61994199999998,14.983797822425615,14.7294282913208,15.330349922180176,14.082732939364305,9.150459389188397,9.134755026931016,0.9010648830613093,5.833338433237218,100.08200275933565,99.95121765136719,100.36228942871094,-0.1868896484375,100.0818996002425,99.99993896484375,15.48857135559196,15.504683145836218,0.5738742965370861,-0.0017185118712364077,57.388424341002505,57.388424341002505,3576.4394928434003,1658.0082089552238,1558.6,-0.31995523144702126,112.26199692398754,-0.30430962623500113,536,536
3,baseline_settle,0.0,1.9900000095367432,325.243339,383.623339,58.379999999999995,15.033951827202843,14.844839096069336,15.35383129119873,15.496113702124449,10.575910607527257,10.595485694772416,-0.46216187492160543,4.458041219675586,99.88198951406872,99.42793273925781,100.0760269165039,0.30475616455078125,99.88216030106562,99.99993896484375,15.538810724622747,15.504529072550799,0.6433947174513385,-0.03200290882297223,64.33933536658127,64.33933536658127,2866.904799603523,1626.4651685393258,1614.2224719101123,-1.6714895877945288,113.01559875431133,-1.6931489920348264,534,534
4,fault_observe,20.0,1.3888888359069824,383.623339,441.983339,58.360000000000014,15.090850019544419,14.8507661819458,15.574383735656738,12.993748733486193,8.058079046256534,8.081305405870044,2.0971012860582263,7.032770973287885,99.94398077031126,99.75996398925781,100.17022705078125,-0.1499176025390625,99.9438680108448,99.99993896484375,15.599140231649603,15.504579536910352,0.5204135899695849,0.13323916359254165,52.0432935769054,52.0432935769054,4316.36306877079,1690.8628185907046,1515.8470764617691,0.8261835065389658,113.87582158416119,0.8393945678698133,533,533
5,baseline_settle,0.0,1.9900000095367432,441.983339,500.343339,58.360000000000014,15.016954495219256,14.307777404785156,15.400094985961914,15.48125729174807,10.560534326653732,10.584694905518829,-0.46430279652881445,4.456420168565524,99.85200690365266,99.29122161865234,100.14326477050781,-0.0542449951171875,99.85218366701504,99.99993896484375,15.520239604992813,15.504509218623129,0.6428050005927068,-0.03642863903738809,64.27879204528442,64.27879204528442,2870.746112783452,1626.6469265367316,1613.7338830584708,-1.6912881031386677,112.77004524831021,-1.6876241016700473,534,534
6,fault_observe,30.0,1.1834319829940796,500.343339,558.983339,58.639999999999986,16.06113761040702,15.383355140686035,16.7884578704834,12.768927352984925,7.825959466203881,7.848208359236326,3.292210257422095,8.23517814420314,98.32800775424124,97.44258880615234,99.48652648925781,0.15430450439453125,98.32762688309398,99.99993896484375,16.604443429121332,15.503357670200405,0.5093673422599017,0.24305923063474805,50.93902728701598,50.93902728701598,4482.399232367986,1698.2423564504102,1507.0313199105146,1.1699573928024967,129.05354518321022,1.1524110955756102,536,536
7,baseline_settle,0.0,1.9900000095367432,558.983339,617.123339,58.139999999999986,14.990997877336087,14.130542755126953,15.382728576660156,15.460226376971043,10.538921266231897,10.560366347956654,-0.4692284996349567,4.452076611104189,99.83310200220131,99.29076385498047,100.08277130126953,0.12421417236328125,99.8332616476188,99.99993896484375,15.490864531438154,15.504493351269485,0.6418924196098084,-0.03634999684737365,64.18764584035759,64.18764584035759,2877.9839606227647,1626.948795180723,1613.000753012048,-1.6250313758984747,112.38649485882064,-1.632858401962689,532,532
8,fault_observe,40.0,1.0204081535339355,617.123339,675.983339,58.860000000000014,17.301614541546563,16.394136428833008,18.365922927856445,12.773076498326962,7.821389267179701,7.802318112105462,4.528538043219601,9.480225274366862,96.08913343467798,94.84230041503906,97.8888931274414,-0.128204345703125,96.09070601339234,99.99993896484375,17.883028824533227,15.5016670794292,0.5095468209467856,0.25413315660115954,50.961074172078725,50.961074172078725,4461.672294950875,1697.388270230141,1507.2160356347438,1.2941116412708145,149.83608146582395,1.2675508523574548,538,538
9,baseline_settle,0.0,1.9900000095367432,675.983339,734.623339,58.639999999999986,15.023318301366029,14.446878433227539,15.379032135009766,15.488996876255067,10.568470655982175,10.546134005792284,-0.4656785748890382,4.454847645383854,99.71233002095859,98.42005157470703,100.02899169921875,1.567596435546875,99.71176029539197,99.99993896484375,15.527955152912957,15.504399395521792,0.6433383423966846,-0.028792798928430847,64.3338920598951,64.3338920598951,2861.746717482872,1626.2170022371365,1614.1841909023117,-1.3865829825076281,112.86035335263726,-1.4757864468590507,537,537
10,fault_observe,50.0,0.8888888955116272,734.623339,793.463339,58.84000000000003,20.19661404563592,19.31512451171875,24.1411190032959,13.91763330320724,8.96420863835785,8.939468945098135,6.278980742428679,11.232405407278069,99.36207187760283,90.33953857421875,100.146484375,9.743438720703125,99.3669890931991,99.99993896484375,14.484061790664843,15.504122154420193,0.5682550233314472,0.014736377523318763,56.76265418405519,56.76265418405519,3619.5661510450523,1659.8610698365528,1553.651560178306,0.6185464107970597,204.22883067077865,-0.07061063287585807,538,538
