bias_percent,label,p100_reported_arsp_mean,p200_reported_arsp_mean,delta_reported_arsp_mean,p100_true_sim2_as_mean,p200_true_sim2_as_mean,delta_true_sim2_as_mean,p100_groundspeed_gps_mean,p200_groundspeed_gps_mean,delta_groundspeed_gps_mean,p100_rel_alt_mean,p200_rel_alt_mean,delta_rel_alt_mean,p100_rel_alt_min,p200_rel_alt_min,delta_rel_alt_min,p100_tecs_throttle_mean,p200_tecs_throttle_mean,delta_tecs_throttle_mean,p100_att_des_pitch_mean,p200_att_des_pitch_mean,delta_att_des_pitch_mean,p100_att_pitch_mean,p200_att_pitch_mean,delta_att_pitch_mean,p100_aetr_elev_mean,p200_aetr_elev_mean,delta_aetr_elev_mean,p100_rcou_c2_mean,p200_rcou_c2_mean,delta_rcou_c2_mean,p100_rcou_c3_mean,p200_rcou_c3_mean,delta_rcou_c3_mean,p100_aoa_mean,p200_aoa_mean,delta_aoa_mean,p100_aoa_std,p200_aoa_std,delta_aoa_std,p100_ssa_mean,p200_ssa_mean,delta_ssa_mean,p100_arsp_tr_mean,p200_arsp_tr_mean,delta_arsp_tr_mean,p100_arsp_tr_max,p200_arsp_tr_max,delta_arsp_tr_max,p100_reported_minus_true_mps,p200_reported_minus_true_mps,delta_reported_minus_true_mps,p100_true_minus_gps_mps,p200_true_minus_gps_mps,delta_true_minus_gps_mps
0,baseline,14.998559519592742,14.99890938801552,0.00034986842277717756,15.466917449233684,15.465822547107257,-0.0010949021264270442,10.546906510690102,10.545679619063192,-0.0012268916269100316,100.00166986015405,100.00148382336235,-0.00018603679170325904,99.93550872802734,99.93736267089844,0.00185394287109375,0.6419112956925724,0.6418656943671739,-4.5601325398547665e-05,-1.5461347966604913,-1.5288963091186762,0.017238487541815006,-1.5482482015416863,-1.5347990835895295,0.013449117952156753,2880.2076124327014,2881.085786209277,0.8781737765757498,1627.0539325842697,1627.0887397464578,0.0348071621881445,1613.0337078651685,1612.9701715137958,-0.0635363513727043,-1.5474174020442177,-1.5297802341962927,0.017637167847925017,0.035831195113701995,0.036070355800702274,0.00023916068700027826,0.26704643800687256,0.25124811661888413,-0.015798321387988423,0.018979610767199576,0.020208411817564872,0.0012288010503652969,0.05890017747879028,0.06491944193840027,0.006019264459609985,-0.46835792964094125,-0.46691315909173703,0.0014447705492042218,4.920010938543582,4.920142928044065,0.0001319895004829874
10,p010,14.983183958498758,14.982760649461012,-0.0004233090377461224,14.087751271736455,14.08122400839825,-0.006527263338204747,9.155418700591692,9.149060589926583,-0.006358110665109606,100.08354632397146,100.08501276694054,0.0014664429690753877,99.96226501464844,99.95159912109375,-0.0106658935546875,0.5741102209127379,0.5737832711964119,-0.0003269497163259638,-0.12272933709849636,-0.0991810638888562,0.02354827320964016,-0.3488709496480619,-0.32437016151843356,0.02450078812962836,3572.2444560272934,3577.588771438885,5.344315411591651,1657.8582259287339,1658.045830202855,0.18760427412121317,1558.7930250189538,1558.5206611570247,-0.2723638619290796,-0.3293502086621534,-0.30644830573510945,0.02290190292704397,0.08089670454307103,0.08492938522257955,0.004032680679508516,-0.38000622386045657,-0.3886245036214646,-0.00861827976100804,0.40761180018451226,0.4091610820163705,0.0015492818318582624,0.8651573657989502,0.8349651098251343,-0.030192255973815918,0.8954326867623035,0.9015366410627621,0.006103954300458625,4.932332571144762,4.932163418471667,-0.00016915267309514093
20,p020,15.134028143104425,15.13195213781339,-0.0020760052910357985,13.037456489522864,13.03140649813358,-0.006049991389284415,8.102079364590178,8.09581380103951,-0.006265563550668318,99.82261013429385,99.82444888629543,0.001838752001575017,99.54896545410156,99.54670715332031,-0.00225830078125,0.5226854470612632,0.5223116785566383,-0.00037376850462489397,7.073756414101054,7.136606715719796,0.06285030161874161,0.7850834064353202,0.8040498571709823,0.018966450735662166,4281.962138393067,4285.226140271744,3.264001878676936,1689.3628850488356,1689.5351270553065,0.17224200647092403,1517.6521412471825,1517.3856502242152,-0.2664910229673296,0.7765651416264153,0.7980494132108777,0.021484271584462422,0.12093455659171991,0.12836317914656906,0.007428622554849149,-0.4234438975242021,-0.41303646642471026,0.010407431099491826,0.4080449549331003,0.40550117902109556,-0.00254377591200472,0.9444879293441772,0.9134817123413086,-0.031006217002868652,2.0965716535815613,2.10054563967981,0.003973986098248616,4.935377124932685,4.935592697094069,0.00021557216138390345
30,p030,16.066621165121756,16.06773257076292,0.0011114056411649642,12.770811683938213,12.770427604262583,-0.00038407967563003353,7.828723860509468,7.827271052769253,-0.0014528077402156114,98.23653776849916,98.23413656852372,-0.002401199975437862,97.45471954345703,97.41413116455078,-0.04058837890625,0.5095538948247283,0.5095555921246234,1.6972998950759433e-06,14.053343142407513,14.03159250593293,-0.021750636474584084,1.1627471407432706,1.2060572476464566,0.04331010690318604,4488.155706930558,4486.896548574263,-1.259158356295302,1698.4601971190295,1698.4102178812923,-0.04997923773726143,1507.1683093252464,1507.1630353117957,-0.005274013450616621,1.1324188566750775,1.1563331766572214,0.023914319982143883,0.444498676707493,0.45285383930984346,0.008355162602350474,-0.3220456262636909,-0.30874684959986154,0.013298776663829337,0.4182436493785603,0.4155691582429454,-0.0026744911356149093,1.0212666988372803,0.9887335896492004,-0.032533109188079834,3.295809481183543,3.297304966500338,0.0014954853167949977,4.942087823428745,4.94315655149333,0.001068728064585578
40,p040,17.291190141971015,17.290075284298336,-0.0011148576726789372,12.760458088211013,12.760772965689686,0.0003148774786723152,7.8109167066363785,7.808862287606766,-0.00205441902961212,95.98881802660354,95.9857750538132,-0.003042972790339604,94.44415283203125,94.29541778564453,-0.14873504638671875,0.5092611587703567,0.5092272648187441,-3.389395161257358e-05,14.666975446022752,14.637987813756995,-0.028987632265756957,1.3196510483898607,1.2886502144191878,-0.03100083397067288,4476.59322869669,4473.250479151085,-3.3427495456053293,1698.0425531914893,1697.9094988780853,-0.1330543134040454,1506.9141337386018,1506.9072550486162,-0.006878689985569508,1.194954389467238,1.1943622588088785,-0.0005921306583596131,0.8053359940762469,0.8373181218383552,0.03198212776210829,-0.12286088780062167,-0.11728310018014075,0.005577787620480917,0.42219452616852304,0.41189395986567034,-0.010300566302852698,1.1974952220916748,1.2109780311584473,0.013482809066772461,4.530732053760001,4.52930231860865,-0.0014297351513512524,4.949541381574635,4.951910678082919,0.0023692965082844353
50,p050,18.542958666243642,18.53417407280956,-0.008784593434082666,12.772575943784894,12.768427033017911,-0.004148910766982539,7.81741546055056,7.814135719959001,-0.0032797405915587774,93.52978872047281,93.56278829030447,0.032999569831659414,91.7804183959961,92.15819549560547,0.377777099609375,0.5098523040425103,0.5095657232666553,-0.0002865807758549721,14.965894262205879,14.952822711732653,-0.013071550473226168,1.3345813227578436,1.3051840252039868,-0.029397297553856783,4466.478742629717,4474.662672071486,8.183929441768669,1697.640754716981,1698.0240240240241,0.38326930704306506,1507.422641509434,1507.165915915916,-0.25672559351801283,1.2184528426539574,1.2241465034109442,0.005693660756986851,1.1006863733938048,1.005946131187625,-0.09474024220617983,-0.004131578972984879,-0.0048285758181337065,-0.0006969968451488277,0.404761661918623,0.4046139780599729,-0.00014768385865010503,1.1517115831375122,1.057072639465332,-0.09463894367218018,5.7703827224587485,5.765747039791648,-0.004635682667100127,4.955160483234334,4.95429131305891,-0.0008691701754237613
60,p060,19.82980219642396,19.811453938707015,-0.01834825771694426,12.803054241226173,12.795384588865476,-0.0076696523606969436,7.843741958060961,7.833704505520367,-0.01003745254059396,90.84258301719197,90.872671242873,0.03008822568102687,88.22824096679688,88.07252502441406,-0.1557159423828125,0.5112408218978717,0.510976381948061,-0.00026443994981062424,14.980359760896377,14.981323812109549,0.0009640512131721124,1.3088101506520502,1.3648382649684176,0.05602811431636745,4446.161585589041,4448.715806069442,2.554220480400545,1696.7241379310344,1696.8145100972326,0.09037216619822175,1508.56071964018,1508.3081525804039,-0.2525670597760836,1.2033366848632525,1.2359540059548917,0.03261732109163917,1.3033435818333936,1.265235283642451,-0.038108298190942635,0.009879316173919335,-0.0024876256988255446,-0.01236694187274488,0.4036905500386085,0.3953045601530053,-0.008385989885603184,1.4324114322662354,1.4323054552078247,-0.00010597705841064453,7.026747955197786,7.016069349841539,-0.010678605356247317,4.959312283165212,4.961680083345109,0.002367800179897017
70,p070,21.027888510956327,21.036659404718986,0.008770893762658716,12.778029996053695,12.784355141113851,0.006325145060156245,7.833887598568335,7.838948137724578,0.005060539156242605,88.2159212945011,88.19243233513939,-0.023488959361714024,87.42204284667969,87.172607421875,-0.2494354248046875,0.509756558552021,0.510054421870508,0.00029786331848702385,15.0,15.0,0.0,1.3841855278802406,1.4018798225243634,0.017694294644122754,4480.409980527446,4473.7249743086695,-6.685006218776834,1698.1615326821939,1697.898355754858,-0.2631769273359623,1507.3335837716004,1507.5814648729447,0.24788110134431918,1.3326017546832674,1.3415510116445302,0.008949256961262808,0.5284374311678658,0.6534828812886005,0.12504545012073476,-0.4477632041672405,-0.4689309249009728,-0.021167720733732298,0.410607991519945,0.41404068688644424,0.003432695366499261,1.084299921989441,1.1261698007583618,0.0418698787689209,8.249858514902632,8.252304263605135,0.0024457487025024705,4.9441423974853596,4.945407003389273,0.0012646059039136404
80,p080,22.339158359326813,22.342203292988753,0.003044933661939808,12.819407151150964,12.821150825863928,0.001743674712963994,7.863663287644975,7.8641416379510245,0.00047835030604925777,85.7298834074896,85.72359530178363,-0.006288105705962721,84.13312530517578,84.14508819580078,0.011962890625,0.5115389502922395,0.5116047574488144,6.5807156574893e-05,14.998534932698997,14.998346979903891,-0.00018795279510541718,1.3041020376848478,1.310336434114544,0.006234396429696254,4438.3966633992295,4439.692858368624,1.2961949693944916,1696.388429752066,1696.4236783320923,0.035248580026291165,1508.7610818933133,1508.8175725986598,0.05649070534650491,1.2774443627637986,1.2834448795458342,0.006000516782035614,1.159365507718485,1.1353375834038855,-0.024027924314599547,-0.6496554307247463,-0.6496128292279093,4.260149683699144e-05,0.4248223568547405,0.42332321197293993,-0.0014991448818005848,1.4895665645599365,1.4184576272964478,-0.07110893726348877,9.51975120817585,9.521052467124825,0.0013012589489758142,4.9557438635059885,4.957009187912903,0.0012653244069147362
90,p090,23.532836465907277,23.53632251214804,0.0034860462407628745,12.79453725674837,12.795631962872687,0.0010947061243165024,7.849706032591046,7.8509369252333,0.0012308926422539557,85.62075071428126,85.61845541000366,-0.002295304277595278,85.34521484375,85.3652572631836,0.02004241943359375,0.510369858123306,0.5104257255017093,5.586737840324041e-05,15.0,15.0,0.0,1.3003446409875419,1.3235038611816154,0.02315922019407357,4483.937231794347,4484.074935186477,0.13770339212987892,1698.2279909706547,1698.172619047619,-0.05537192303563643,1507.788562829195,1507.8511904761904,0.06262764699545187,1.312133292506512,1.3300131920545075,0.017879899547995626,0.1710870923145955,0.1341846578810576,-0.03690243443353791,-0.5643170124157927,-0.561689317835751,0.0026276945800416396,0.4389586350915575,0.43556288743329313,-0.003395747658264392,0.9040923118591309,0.9117366075515747,0.007644295692443848,10.738299209158907,10.740690549275353,0.002391340116446372,4.9448312241573245,4.944695037639387,-0.0001361865179374533
